PROTEIN_NAME	LOCUS	GENE_CONTIG	PFAM_ACC	PFAM_NAME	PFAM_DESCRIPTION	PFAM_START	PFAM_STOP	LENGTH	PFAM_SCORE	PFAM_EXPECTED
conserved hypothetical protein	Rv1929c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03085	TIGR03085	conserved hypothetical protein TIGR03085	2181283	2181888	606	396.2099914550781	0.0
transcriptional regulator	Rv1931c	Mycobacterium tuberculosis H37Rv complete genome.	PF00165.15	HTH_AraC	Bacterial regulatory helix-turn-helix proteins, AraC family	2182472	2182606	135	32.29999923706055	1.6999999843392288E-6
transcriptional regulator	Rv1931c	Mycobacterium tuberculosis H37Rv complete genome.	PF00165.15	HTH_AraC	Bacterial regulatory helix-turn-helix proteins, AraC family	2182472	2182606	135	49.65999984741211	1.1999999952050366E-11
transcriptional regulator	Rv1931c	Mycobacterium tuberculosis H37Rv complete genome.	PF00165.16	HTH_AraC	Bacterial regulatory helix-turn-helix proteins, AraC family	2182622	2182729	108	44.0	9.6E-12
transcriptional regulator	Rv1931c	Mycobacterium tuberculosis H37Rv complete genome.	PF01965.17	DJ-1_PfpI	DJ-1/PfpI family	2182988	2183233	246	32.7	3.7E-8
thiol peroxidase tpx	Rv1932	Mycobacterium tuberculosis H37Rv complete genome.	PF00578.13	AhpC-TSA	AhpC/TSA family	2183429	2183803	375	65.7300033569336	1.700000022048607E-16
thiol peroxidase tpx	Rv1932	Mycobacterium tuberculosis H37Rv complete genome.	PF08534.3	Redoxin	Redoxin	2183426	2183851	426	89.4	1.2E-25
thiol peroxidase tpx	Rv1932	Mycobacterium tuberculosis H37Rv complete genome.	PF00578.14	AhpC-TSA	AhpC/TSA family	2183429	2183803	375	57.0	1.1E-15
thiol peroxidase tpx	Rv1932	Mycobacterium tuberculosis H37Rv complete genome.	PF08534.2	Redoxin	Redoxin	2183426	2183860	435	143.38999938964844	7.10000096814848E-40
thiol peroxidase tpx	Rv1932	Mycobacterium tuberculosis H37Rv complete genome.	PF08534.2	Redoxin	Redoxin	2183426	2183860	435	143.39999389648438	6.200003016451223E-40
thiol peroxidase tpx	Rv1932	Mycobacterium tuberculosis H37Rv complete genome.	PF00578.13	AhpC-TSA	AhpC/TSA family	2183429	2183803	375	69.5999984741211	9.99999983775159E-18
acyl-CoA dehydrogenase fadE18	Rv1933c	Mycobacterium tuberculosis H37Rv complete genome.	PF08028.3	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain	2183914	2184285	372	19.280000686645508	7.000000096013537E-6
acyl-CoA dehydrogenase fadE18	Rv1933c	Mycobacterium tuberculosis H37Rv complete genome.	PF02771.8	Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, N-terminal domain	2184616	2184942	327	84.83999633789062	2.9999999047965676E-22
acyl-CoA dehydrogenase fadE18	Rv1933c	Mycobacterium tuberculosis H37Rv complete genome.	PF02771.9	Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, N-terminal domain	2184616	2184942	327	66.6	2.1E-18
acyl-CoA dehydrogenase fadE18	Rv1933c	Mycobacterium tuberculosis H37Rv complete genome.	PF08028.4	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain	2183920	2184285	366	39.0	6.4E-10
acyl-CoA dehydrogenase fadE18	Rv1933c	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.17	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	2183881	2184330	450	116.8	6.6E-34
acyl-CoA dehydrogenase fadE18	Rv1933c	Mycobacterium tuberculosis H37Rv complete genome.	PF02771.8	Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, N-terminal domain	2184616	2184942	327	34.099998474121094	3.700000092976552E-7
acyl-CoA dehydrogenase fadE18	Rv1933c	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.16	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	2183881	2184333	453	159.5	8.407790785948902E-45
acyl-CoA dehydrogenase fadE18	Rv1933c	Mycobacterium tuberculosis H37Rv complete genome.	PF08028.3	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain	2183914	2184285	372	19.700000762939453	1.1000000085914508E-5
acyl-CoA dehydrogenase fadE18	Rv1933c	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.16	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	2183881	2184333	453	159.3800048828125	1.1210387714598537E-44
acyl-CoA dehydrogenase fadE17	Rv1934c	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.16	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	2184998	2185489	492	81.08000183105469	3.99999987306209E-21
acyl-CoA dehydrogenase fadE17	Rv1934c	Mycobacterium tuberculosis H37Rv complete genome.	PF02771.9	Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, N-terminal domain	2185817	2186173	357	89.8	1.4E-25
acyl-CoA dehydrogenase fadE17	Rv1934c	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.17	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	2184998	2185489	492	77.0	1.2E-21
acyl-CoA dehydrogenase fadE17	Rv1934c	Mycobacterium tuberculosis H37Rv complete genome.	PF02770.12	Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, middle domain	2185652	2185807	156	67.0	5.9E-19
acyl-CoA dehydrogenase fadE17	Rv1934c	Mycobacterium tuberculosis H37Rv complete genome.	PF02771.8	Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, N-terminal domain	2185817	2186173	357	36.79999923706055	7.700000281829489E-8
acyl-CoA dehydrogenase fadE17	Rv1934c	Mycobacterium tuberculosis H37Rv complete genome.	PF02771.8	Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, N-terminal domain	2185817	2186173	357	120.91000366210938	4.100000134077333E-33
acyl-CoA dehydrogenase fadE17	Rv1934c	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.16	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	2184998	2185489	492	83.5	6.300000203969575E-22
acyl-CoA dehydrogenase fadE17	Rv1934c	Mycobacterium tuberculosis H37Rv complete genome.	PF02770.11	Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, middle domain	2185652	2185807	156	95.69999694824219	1.399999953402364E-25
acyl-CoA dehydrogenase fadE17	Rv1934c	Mycobacterium tuberculosis H37Rv complete genome.	PF02770.11	Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, middle domain	2185652	2185807	156	95.79000091552734	1.500000029312222E-25
enoyl-CoA hydratase echA13	Rv1935c	Mycobacterium tuberculosis H37Rv complete genome.	PF00378.13	ECH	Enoyl-CoA hydratase/isomerase family	2186479	2187048	570	92.3	1.6E-26
enoyl-CoA hydratase echA13	Rv1935c	Mycobacterium tuberculosis H37Rv complete genome.	PF00378.12	ECH	Enoyl-CoA hydratase/isomerase family	2186479	2187048	570	80.0	7.499999761991419E-21
enoyl-CoA hydratase echA13	Rv1935c	Mycobacterium tuberculosis H37Rv complete genome.	PF00378.12	ECH	Enoyl-CoA hydratase/isomerase family	2186479	2187048	570	80.81999969482422	4.799999847674508E-21
monooxygenase	Rv1936	Mycobacterium tuberculosis H37Rv complete genome.	PF00296.13	Bac_luciferase	Luciferase-like monooxygenase	2187384	2188355	972	152.6	9.9E-45
monooxygenase	Rv1936	Mycobacterium tuberculosis H37Rv complete genome.	PF00296.12	Bac_luciferase	Luciferase-like monooxygenase	2187384	2188451	1068	52.33000183105469	1.8000000361756419E-12
monooxygenase	Rv1936	Mycobacterium tuberculosis H37Rv complete genome.	PF00296.12	Bac_luciferase	Luciferase-like monooxygenase	2187384	2188451	1068	52.29999923706055	1.599999971922672E-12
oxygenase	Rv1937	Mycobacterium tuberculosis H37Rv complete genome.	PF00175.13	NAD_binding_1	Oxidoreductase NAD-binding domain	2189129	2189440	312	95.44999694824219	1.8999999631731048E-25
oxygenase	Rv1937	Mycobacterium tuberculosis H37Rv complete genome.	PF00970.16	FAD_binding_6	Oxidoreductase FAD-binding domain	2188811	2189101	291	114.69000244140625	3.100000066254067E-31
oxygenase	Rv1937	Mycobacterium tuberculosis H37Rv complete genome.	PF00175.13	NAD_binding_1	Oxidoreductase NAD-binding domain	2189126	2189440	315	97.0	5.799999965429172E-26
oxygenase	Rv1937	Mycobacterium tuberculosis H37Rv complete genome.	PF00970.17	FAD_binding_6	Oxidoreductase FAD-binding domain	2188811	2189104	294	70.9	5.8E-20
oxygenase	Rv1937	Mycobacterium tuberculosis H37Rv complete genome.	PF00111.19	Fer2	2Fe-2S iron-sulfur cluster binding domain	2188520	2188747	228	71.37999725341797	3.399999969650959E-18
oxygenase	Rv1937	Mycobacterium tuberculosis H37Rv complete genome.	PF00175.14	NAD_binding_1	Oxidoreductase NAD-binding domain	2189129	2189440	312	71.3	6.9E-20
oxygenase	Rv1937	Mycobacterium tuberculosis H37Rv complete genome.	PF00111.20	Fer2	2Fe-2S iron-sulfur cluster binding domain	2188523	2188747	225	49.8	1.6E-13
oxygenase	Rv1937	Mycobacterium tuberculosis H37Rv complete genome.	PF00970.16	FAD_binding_6	Oxidoreductase FAD-binding domain	2188811	2189101	291	114.5999984741211	2.8000000370908796E-31
oxygenase	Rv1937	Mycobacterium tuberculosis H37Rv complete genome.	PF00111.19	Fer2	2Fe-2S iron-sulfur cluster binding domain	2188520	2188750	231	71.69999694824219	2.3000000950317638E-18
epoxide hydrolase ephB	Rv1938	Mycobacterium tuberculosis H37Rv complete genome.	PF00561.12	Abhydrolase_1	alpha/beta hydrolase fold	2191189	2192073	885	68.69999694824219	1.7999999377080617E-17
epoxide hydrolase ephB	Rv1938	Mycobacterium tuberculosis H37Rv complete genome.	PF00561.12	Abhydrolase_1	alpha/beta hydrolase fold	2191189	2192073	885	69.4800033569336	1.3000000285385435E-17
epoxide hydrolase ephB	Rv1938	Mycobacterium tuberculosis H37Rv complete genome.	PF00561.13	Abhydrolase_1	alpha/beta hydrolase fold	2191189	2192073	885	61.1	8.5E-17
epoxide hydrolase ephB	Rv1938	Mycobacterium tuberculosis H37Rv complete genome.	PF12146.1	Hydrolase_4	Putative lysophospholipase	2191060	2191299	240	40.3	1.6E-10
oxidoreductase	Rv1939	Mycobacterium tuberculosis H37Rv complete genome.	PF01613.11	Flavin_Reduct	Flavin reductase like domain	2192163	2192600	438	100.1	7.8E-29
oxidoreductase	Rv1939	Mycobacterium tuberculosis H37Rv complete genome.	PF01613.10	Flavin_Reduct	Flavin reductase like domain	2192163	2192600	438	164.88999938964844	0.0
oxidoreductase	Rv1939	Mycobacterium tuberculosis H37Rv complete genome.	PF01613.10	Flavin_Reduct	Flavin reductase like domain	2192163	2192600	438	226.89999389648438	0.0
riboflavin biosynthesis protein ribA1	Rv1940	Mycobacterium tuberculosis H37Rv complete genome.	PF00926.12	DHBP_synthase	3,4-dihydroxy-2-butanone 4-phosphate synthase	2192627	2193190	564	190.8	1.1E-56
riboflavin biosynthesis protein ribA1	Rv1940	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00506	TIGR00506	ribB: 3,4-dihydroxy-2-butanone-4-phosphate synthase	2192618	2193190	573	140.9	7.7E-42
riboflavin biosynthesis protein ribA1	Rv1940	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00506	ribB	3,4-dihydroxy-2-butanone 4-phosphate synthase	2192624	2193190	567	138.0500030517578	9.999999350456404E-39
riboflavin biosynthesis protein ribA1	Rv1940	Mycobacterium tuberculosis H37Rv complete genome.	PF00925.12	GTP_cyclohydro2	GTP cyclohydrolase II	2193209	2193622	414	13.65999984741211	2.100000034976901E-11
riboflavin biosynthesis protein ribA1	Rv1940	Mycobacterium tuberculosis H37Rv complete genome.	PF00925.13	GTP_cyclohydro2	GTP cyclohydrolase II	2193209	2193607	399	93.1	8.4E-27
riboflavin biosynthesis protein ribA1	Rv1940	Mycobacterium tuberculosis H37Rv complete genome.	PF00926.11	DHBP_synthase	3,4-dihydroxy-2-butanone 4-phosphate synthase	2192627	2193196	570	217.8000030517578	0.0
riboflavin biosynthesis protein ribA1	Rv1940	Mycobacterium tuberculosis H37Rv complete genome.	PF00925.12	GTP_cyclohydro2	GTP cyclohydrolase II	2193209	2193622	414	13.300000190734863	2.2000000779454076E-11
riboflavin biosynthesis protein ribA1	Rv1940	Mycobacterium tuberculosis H37Rv complete genome.	PF00926.11	DHBP_synthase	3,4-dihydroxy-2-butanone 4-phosphate synthase	2192627	2193196	570	217.77000427246094	0.0
short-chain type dehydrogenase/reductase	Rv1941	Mycobacterium tuberculosis H37Rv complete genome.	PF08659.3	KR	KR domain	2193691	2194197	507	51.6	6.7E-14
short-chain type dehydrogenase/reductase	Rv1941	Mycobacterium tuberculosis H37Rv complete genome.	PF00106.18	adh_short	short chain dehydrogenase	2193688	2194182	495	115.1	2.4E-33
short-chain type dehydrogenase/reductase	Rv1941	Mycobacterium tuberculosis H37Rv complete genome.	PF00106.17	adh_short	short chain dehydrogenase	2193688	2194182	495	132.36000061035156	1.5000000090671439E-36
short-chain type dehydrogenase/reductase	Rv1941	Mycobacterium tuberculosis H37Rv complete genome.	PF00106.17	adh_short	short chain dehydrogenase	2193688	2194182	495	132.10000610351562	1.5000000090671439E-36
short-chain type dehydrogenase/reductase	Rv1941	Mycobacterium tuberculosis H37Rv complete genome.	PF08659.2	KR	KR domain	2193691	2194230	540	-26.0	7.60000011723605E-6
conserved hypothetical protein	Rv1942c	Mycobacterium tuberculosis H37Rv complete genome.	PF02452.9	PemK	PemK-like protein	2194656	2194958	303	167.0500030517578	0.0
conserved hypothetical protein	Rv1942c	Mycobacterium tuberculosis H37Rv complete genome.	PF02452.9	PemK	PemK-like protein	2194656	2194958	303	167.10000610351562	0.0
conserved hypothetical protein	Rv1942c	Mycobacterium tuberculosis H37Rv complete genome.	PF02452.10	PemK	PemK-like protein	2194659	2194958	300	58.0	7.4E-16
conserved hypothetical protein	Rv1944c	Mycobacterium tuberculosis H37Rv complete genome.	PF02810.7	SEC-C	SEC-C motif	2195371	2195433	63	42.099998474121094	1.8999999351621E-9
conserved hypothetical protein	Rv1944c	Mycobacterium tuberculosis H37Rv complete genome.	PF02810.7	SEC-C	SEC-C motif	2195371	2195433	63	42.09000015258789	2.1999999599842113E-9
conserved hypothetical protein	Rv1944c	Mycobacterium tuberculosis H37Rv complete genome.	PF02810.8	SEC-C	SEC-C motif	2195371	2195433	63	39.1	2.9E-10
conserved hypothetical protein	Rv1945	Mycobacterium tuberculosis H37Rv complete genome.	PF02720.9	DUF222	Domain of unknown function DUF222	2196517	2197047	531	321.0299987792969	0.0
conserved hypothetical protein	Rv1945	Mycobacterium tuberculosis H37Rv complete genome.	PF02720.9	DUF222	Domain of unknown function DUF222	2196517	2197047	531	321.0	0.0
conserved hypothetical protein	Rv1945	Mycobacterium tuberculosis H37Rv complete genome.	PF02720.10	DUF222	Domain of unknown function DUF222	2196517	2197047	531	200.6	1.0E-59
conserved hypothetical protein	Rv1953	Mycobacterium tuberculosis H37Rv complete genome.	PF01850.14	PIN	PIN domain	2200944	2201195	252	25.4	1.1E-5
hypothetical protein	Rv1955	Mycobacterium tuberculosis H37Rv complete genome.	PF05973.6	Gp49	Phage derived protein Gp49-like (DUF891)	2201899	2202063	165	72.62000274658203	1.3999999814211257E-18
hypothetical protein	Rv1955	Mycobacterium tuberculosis H37Rv complete genome.	PF05973.7	Gp49	Phage derived protein Gp49-like (DUF891)	2201797	2202057	261	57.1	1.1E-15
hypothetical protein	Rv1955	Mycobacterium tuberculosis H37Rv complete genome.	PF05973.6	Gp49	Phage derived protein Gp49-like (DUF891)	2201899	2202063	165	72.0999984741211	1.800000020426123E-18
transcriptional regulator	Rv1956	Mycobacterium tuberculosis H37Rv complete genome.	PF01381.14	HTH_3	Helix-turn-helix	2202261	2202425	165	48.599998474121094	2.100000034976901E-11
transcriptional regulator	Rv1956	Mycobacterium tuberculosis H37Rv complete genome.	PF01381.15	HTH_3	Helix-turn-helix	2202261	2202425	165	40.4	1.5E-10
transcriptional regulator	Rv1956	Mycobacterium tuberculosis H37Rv complete genome.	PF01381.14	HTH_3	Helix-turn-helix	2202261	2202425	165	48.79999923706055	2.100000034976901E-11
conserved hypothetical protein	Rv1959c	Mycobacterium tuberculosis H37Rv complete genome.	PF05016.7	Plasmid_stabil	Plasmid stabilisation system protein	2203696	2203965	270	85.9	1.4E-24
conserved hypothetical protein	Rv1959c	Mycobacterium tuberculosis H37Rv complete genome.	PF05016.6	Plasmid_stabil	Plasmid stabilisation system protein	2203696	2203965	270	109.91999816894531	8.399999876173769E-30
conserved hypothetical protein	Rv1959c	Mycobacterium tuberculosis H37Rv complete genome.	PF05016.6	Plasmid_stabil	Plasmid stabilisation system protein	2203696	2203965	270	109.9000015258789	7.299999722222307E-30
conserved hypothetical protein	Rv1960c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02606	TIGR02606	antidote_CC2985: putative addiction module antidote protein, CC2985 family	2204007	2204216	210	93.2	1.6E-27
conserved hypothetical protein	Rv1960c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02606	antidote_CC2985	putative addiction module antidote protein, CC2985 family	2204007	2204216	210	127.3499984741211	1.7000000162549698E-35
conserved hypothetical protein	Rv1960c	Mycobacterium tuberculosis H37Rv complete genome.	PF03693.6	RHH_2	Uncharacterised protein family (UPF0156)	2203983	2204225	243	197.94000244140625	0.0
conserved hypothetical protein	Rv1960c	Mycobacterium tuberculosis H37Rv complete genome.	PF03693.6	RHH_2	Uncharacterised protein family (UPF0156)	2203983	2204225	243	192.0	0.0
conserved hypothetical protein	Rv1960c	Mycobacterium tuberculosis H37Rv complete genome.	PF03693.7	RHH_2	Uncharacterised protein family (UPF0156)	2203983	2204225	243	137.2	1.2E-40
conserved hypothetical protein	Rv1962c	Mycobacterium tuberculosis H37Rv complete genome.	PF01850.13	PIN	PIN domain	2204887	2205270	384	43.599998474121094	6.699999999248973E-10
conserved hypothetical protein	Rv1962c	Mycobacterium tuberculosis H37Rv complete genome.	PF01850.14	PIN	PIN domain	2204887	2205270	384	56.4	2.7E-15
conserved hypothetical protein	Rv1962c	Mycobacterium tuberculosis H37Rv complete genome.	PF01850.13	PIN	PIN domain	2204887	2205270	384	43.61000061035156	7.700000081989344E-10
tetR-family transcriptional repressor mce3R	Rv1963c	Mycobacterium tuberculosis H37Rv complete genome.	PF00440.15	TetR_N	Bacterial regulatory proteins, tetR family	2206608	2206748	141	71.4000015258789	2.9000001018404714E-18
tetR-family transcriptional repressor mce3R	Rv1963c	Mycobacterium tuberculosis H37Rv complete genome.	PF00440.15	TetR_N	Bacterial regulatory proteins, tetR family	2205996	2206136	141	130.52000427246094	5.3000001097625965E-36
tetR-family transcriptional repressor mce3R	Rv1963c	Mycobacterium tuberculosis H37Rv complete genome.	PF00440.15	TetR_N	Bacterial regulatory proteins, tetR family	2206608	2206748	141	130.52000427246094	5.3000001097625965E-36
tetR-family transcriptional repressor mce3R	Rv1963c	Mycobacterium tuberculosis H37Rv complete genome.	PF00440.15	TetR_N	Bacterial regulatory proteins, tetR family	2205996	2206136	141	59.099998474121094	1.4000000262543149E-14
tetR-family transcriptional repressor mce3R	Rv1963c	Mycobacterium tuberculosis H37Rv complete genome.	PF00440.16	TetR_N	Bacterial regulatory proteins, tetR family	2206608	2206748	141	105.3	6.9E-31
tetR-family transcriptional repressor mce3R	Rv1963c	Mycobacterium tuberculosis H37Rv complete genome.	PF00440.16	TetR_N	Bacterial regulatory proteins, tetR family	2205996	2206136	141	105.3	6.9E-31
hypothetical membrane protein yrbE3A	Rv1964	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00056	TIGR00056	TIGR00056: conserved hypothetical protein	2207757	2208482	726	119.6	3.8E-35
hypothetical membrane protein yrbE3A	Rv1964	Mycobacterium tuberculosis H37Rv complete genome.	PF02405.9	DUF140	Domain of unknown function DUF140	2207832	2208476	645	191.7	8.7E-57
hypothetical membrane protein yrbE3A	Rv1964	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00056	TIGR00056	conserved hypothetical protein	2207742	2208479	738	27.34000015258789	1.1999999952050366E-11
hypothetical membrane protein yrbE3A	Rv1964	Mycobacterium tuberculosis H37Rv complete genome.	PF02405.8	DUF140	Domain of unknown function DUF140	2207832	2208476	645	258.8500061035156	0.0
